Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
SVM,0.8197278911564626,0.45161290322580644,0.5957446808510638,0.5137614678899083,0.8104918597639762,0.5367745923408891
Logistic Regression,0.7721088435374149,0.38636363636363635,0.723404255319149,0.5037037037037037,0.8188474459471099,0.5534668497655894
Gradient Boosting,0.7959183673469388,0.38181818181818183,0.44680851063829785,0.4117647058823529,0.7774140752864157,0.46697043420376283
Random Forest,0.8435374149659864,0.5555555555555556,0.10638297872340426,0.17857142857142858,0.8104918597639762,0.4442353460101016
